,代码,名称
399,000962,东方钽业
400,000963,华东医药
401,000965,天保基建
402,000966,长源电力
403,000967,盈峰环境
404,000968,蓝焰控股
405,000969,安泰科技
406,000970,中科三环
407,000971,*ST高升
408,000972,中基健康
409,000973,佛塑科技
410,000975,银泰黄金
411,000976,ST华铁
412,000977,浪潮信息
413,000978,桂林旅游
414,000980,众泰汽车
415,000981,山子高科
416,000982,中银绒业
417,000983,山西焦煤
418,000985,大庆华科
419,000987,越秀资本
420,000988,华工科技
421,000989,ST九芝
422,000990,诚志股份
423,000993,闽东电力
424,000995,皇台酒业
425,000996,*ST中期
426,000997,新 大 陆
427,000998,隆平高科
428,000999,华润三九
429,001201,东瑞股份
430,001202,炬申股份
431,001203,大中矿业
432,001205,盛航股份
433,001206,依依股份
434,001207,联科科技
435,001208,华菱线缆
436,001209,洪兴股份
437,001210,金房能源
438,001211,双枪科技
439,001212,中旗新材
440,001213,中铁特货
441,001215,千味央厨
442,001216,华瓷股份
443,001217,华尔泰
444,001218,丽臣实业
445,001219,青岛食品
446,001222,源飞宠物
447,001223,欧克科技
448,001225,和泰机电
449,001226,拓山重工
450,001227,兰州银行
451,001228,永泰运
452,001229,魅视科技
453,001230,劲旅环境
454,001231,农心科技
455,001234,泰慕士
456,001236,弘业期货
457,001238,浙江正特
458,001239,永达股份
459,001255,博菲电气
460,001256,炜冈科技
461,001258,立新能源
462,001259,利仁科技
463,001260,坤泰股份
464,001266,宏英智能
465,001267,汇绿生态
466,001268,联合精密
467,001269,欧晶科技
468,001270,铖昌科技
469,001278,一彬科技
470,001282,三联锻造
471,001283,豪鹏科技
472,001286,陕西能源
473,001287,中电港
474,001288,运机集团
475,001289,龙源电力
476,001296,长江材料
477,001298,好上好
478,001299,美能能源
479,001300,三柏硕
480,001301,尚太科技
481,001306,夏厦精密
482,001308,康冠科技
483,001309,德明利
484,001311,多利科技
485,001313,粤海饲料
486,001314,亿道信息
487,001316,润贝航科
488,001317,三羊马
489,001318,阳光乳业
490,001319,铭科精技
491,001322,箭牌家居
492,001323,慕思股份
493,001324,长青科技
494,001326,联域股份
495,001328,登康口腔
496,001330,博纳影业
497,001331,胜通能源
498,001332,锡装股份
499,001333,光华股份
500,001336,楚环科技
501,001337,四川黄金
502,001338,永顺泰
503,001339,智微智能
504,001358,兴欣新材
505,001359,平安电工
506,001360,南矿集团
507,001366,播恩集团
508,001367,海森药业
509,001368,通达创智
510,001373,翔腾新材
511,001376,百通能源
512,001378,德冠新材
513,001379,腾达科技
514,001380,华纬科技
515,001387,雪祺电气
516,001389,广合科技
517,001696,宗申动力
518,001872,招商港口
519,001896,豫能控股
520,001914,招商积余
521,001965,招商公路
522,001979,招商蛇口
523,002001,新 和 成
524,002003,伟星股份
525,002004,华邦健康
526,002005,ST德豪
527,002006,精工科技
528,002007,华兰生物
529,002008,大族激光
530,002009,天奇股份
531,002010,传化智联
532,002011,盾安环境
533,002012,凯恩股份
534,002014,永新股份
535,002015,协鑫能科
536,002016,世荣兆业
537,002017,东信和平
538,002019,亿帆医药
539,002020,京新药业
540,002021,*ST中捷
541,002022,科华生物
542,002023,海特高新
543,002024,ST易购
544,002025,航天电器
545,002026,山东威达
546,002027,分众传媒
547,002028,思源电气
548,002029,七 匹 狼
549,002030,达安基因
550,002031,巨轮智能
551,002032,苏 泊 尔
552,002033,丽江股份
553,002034,旺能环境
554,002035,华帝股份
555,002036,联创电子
556,002037,保利联合
557,002038,双鹭药业
558,002039,黔源电力
559,002040,南 京 港
560,002041,登海种业
561,002042,华孚时尚
562,002043,兔 宝 宝
563,002044,美年健康
564,002045,国光电器
565,002046,国机精工
566,002047,宝鹰股份
567,002048,宁波华翔
568,002049,紫光国微
569,002050,三花智控
570,002051,中工国际
571,002052,*ST同洲
572,002053,云南能投
573,002054,德美化工
574,002055,得润电子
575,002056,横店东磁
576,002057,中钢天源
577,002058,威尔泰
578,002059,云南旅游
579,002060,广东建工
580,002061,浙江交科
581,002062,宏润建设
582,002063,远光软件
583,002064,华峰化学
584,002065,东华软件
585,002066,瑞泰科技
586,002067,景兴纸业
587,002068,黑猫股份
588,002069,獐子岛
589,002072,凯瑞德
590,002073,软控股份
591,002074,国轩高科
592,002075,沙钢股份
593,002076,星光股份
594,002077,大港股份
595,002078,太阳纸业
596,002079,苏州固锝
597,002080,中材科技
598,002081,金 螳 螂
599,002082,万邦德
600,002083,孚日股份
601,002084,海鸥住工
602,002085,万丰奥威
603,002086,*ST东洋
604,002087,*ST新纺
605,002088,鲁阳节能
606,002090,金智科技
607,002091,江苏国泰
608,002092,中泰化学
609,002093,国脉科技
610,002094,青岛金王
611,002095,生 意 宝
612,002096,易普力
613,002097,山河智能
614,002098,浔兴股份
615,002099,海翔药业
616,002100,天康生物
617,002101,广东鸿图
618,002102,能特科技
619,002103,广博股份
620,002104,恒宝股份
621,002105,信隆健康
622,002106,莱宝高科
623,002107,沃华医药
624,002108,沧州明珠
625,002109,兴化股份
626,002110,三钢闽光
627,002111,威海广泰
628,002112,三变科技
629,002114,罗平锌电
630,002115,三维通信
631,002116,中国海诚
632,002117,东港股份
633,002119,康强电子
634,002120,韵达股份
635,002121,科陆电子
636,002122,汇洲智能
637,002123,梦网科技
638,002124,ST天邦
639,002125,湘潭电化
640,002126,银轮股份
641,002127,南极电商
642,002128,电投能源
643,002129,TCL中环
644,002130,沃尔核材
645,002131,利欧股份
646,002132,恒星科技
647,002133,广宇集团
648,002134,天津普林
649,002135,东南网架
650,002136,安 纳 达
651,002137,实益达
652,002138,顺络电子
653,002139,拓邦股份
654,002140,东华科技
655,002141,*ST贤丰
656,002142,宁波银行
657,002144,宏达高科
658,002145,中核钛白
659,002146,荣盛发展
660,002148,北纬科技
661,002149,西部材料
662,002150,通润装备
663,002151,北斗星通
664,002152,广电运通
665,002153,石基信息
666,002154,报 喜 鸟
667,002155,湖南黄金
668,002156,通富微电
669,002157,*ST 正邦
670,002158,汉钟精机
671,002159,三特索道
672,002160,常铝股份
673,002161,远 望 谷
674,002162,悦心健康
675,002163,海南发展
676,002164,宁波东力
677,002165,红 宝 丽
678,002166,莱茵生物
679,002167,东方锆业
680,002168,惠程科技
681,002169,智光电气
682,002170,芭田股份
683,002171,楚江新材
684,002172,澳洋健康
685,002173,创新医疗
686,002174,游族网络
687,002175,东方智造
688,002176,江特电机
689,002177,御银股份
690,002178,延华智能
691,002179,中航光电
692,002180,纳思达
693,002181,粤 传 媒
694,002182,宝武镁业
695,002183,怡 亚 通
696,002184,海得控制
697,002185,华天科技
698,002186,全 聚 德
699,002187,广百股份
700,002188,中天服务
701,002189,中光学
702,002190,成飞集成
703,002191,劲嘉股份
704,002192,融捷股份
705,002193,如意集团
706,002194,武汉凡谷
707,002195,岩山科技
708,002196,方正电机
709,002197,ST证通
710,002198,嘉应制药
711,002199,东晶电子
712,002200,ST交投
713,002201,正威新材
714,002202,金风科技
715,002203,海亮股份
716,002204,大连重工
717,002205,国统股份
718,002206,海 利 得
719,002207,准油股份
720,002208,合肥城建
721,002209,达 意 隆
722,002210,飞马国际
723,002211,宏达新材
724,002212,天融信
725,002213,大为股份
726,002214,大立科技
727,002215,诺 普 信
728,002216,三全食品
729,002217,*ST合泰
730,002218,拓日新能
731,002219,新里程
732,002221,东华能源
733,002222,福晶科技
734,002223,鱼跃医疗
735,002224,三 力 士
736,002225,濮耐股份
737,002226,江南化工
738,002227,奥 特 迅
739,002228,合兴包装
740,002229,鸿博股份
741,002230,科大讯飞
742,002231,奥维通信
743,002232,启明信息
744,002233,塔牌集团
745,002234,民和股份
746,002235,安妮股份
747,002236,大华股份
748,002237,恒邦股份
749,002238,天威视讯
750,002239,奥特佳
751,002240,盛新锂能
752,002241,歌尔股份
753,002242,九阳股份
754,002243,力合科创
755,002244,滨江集团
756,002245,蔚蓝锂芯
757,002246,北化股份
758,002247,聚力文化
759,002248,华东数控
760,002249,大洋电机
761,002250,联化科技
762,002251,*ST步高
763,002252,上海莱士
764,002253,川大智胜
765,002254,泰和新材
766,002255,海陆重工
767,002256,兆新股份
768,002258,利尔化学
769,002259,ST升达
770,002261,拓维信息
771,002262,恩华药业
772,002263,大东南
773,002264,新 华 都
774,002265,建设工业
775,002266,浙富控股
776,002267,陕天然气
777,002268,电科网安
778,002269,美邦服饰
779,002270,华明装备
780,002271,东方雨虹
781,002272,川润股份
782,002273,水晶光电
783,002274,华昌化工
784,002275,桂林三金
785,002276,万马股份
786,002277,友阿股份
787,002278,神开股份
788,002279,久其软件
789,002280,ST联络
790,002281,光迅科技
791,002282,博深股份
792,002283,天润工业
793,002284,亚太股份
794,002285,世联行
795,002286,保龄宝
796,002287,奇正藏药
797,002288,*ST超华
798,002289,ST宇顺
799,002290,禾盛新材
800,002291,遥望科技
801,002292,奥飞娱乐
802,002293,罗莱生活
803,002294,信立泰
804,002295,精艺股份
805,002296,辉煌科技
806,002297,博云新材
807,002298,中电兴发
808,002299,圣农发展
809,002300,太阳电缆
810,002301,齐心集团
811,002302,西部建设
812,002303,美盈森
813,002304,洋河股份
814,002305,南国置业
815,002306,中科云网
816,002307,北新路桥
817,002308,威创股份
818,002309,*ST中利
819,002310,*ST东园
820,002311,海大集团
821,002312,川发龙蟒
822,002313,日海智能
823,002314,南山控股
824,002315,焦点科技
825,002316,亚联发展
826,002317,众生药业
827,002318,久立特材
828,002319,乐通股份
829,002320,海峡股份
830,002321,华英农业
831,002322,理工能科
832,002323,雅博股份
833,002324,普利特
834,002325,*ST洪涛
835,002326,永太科技
836,002327,富安娜
837,002328,新朋股份
838,002329,皇氏集团
839,002330,得利斯
840,002331,皖通科技
841,002332,仙琚制药
842,002333,罗普斯金
843,002334,英威腾
844,002335,科华数据
845,002336,*ST人乐
846,002337,赛象科技
847,002338,奥普光电
848,002339,积成电子
849,002340,格林美
850,002341,ST新纶
851,002342,巨力索具
852,002343,慈文传媒
853,002344,海宁皮城
854,002345,潮宏基
855,002346,柘中股份
856,002347,泰尔股份
857,002348,高乐股份
858,002349,精华制药
859,002350,北京科锐
860,002351,漫步者
861,002352,顺丰控股
862,002353,杰瑞股份
863,002354,天娱数科
864,002355,兴民智通
865,002356,赫美集团
866,002357,富临运业
867,002358,森源电气
868,002360,同德化工
869,002361,神剑股份
870,002362,汉王科技
871,002363,隆基机械
872,002364,中恒电气
873,002365,永安药业
874,002366,融发核电
875,002367,康力电梯
876,002368,太极股份
877,002369,卓翼科技
878,002370,亚太药业
879,002371,北方华创
880,002372,伟星新材
881,002373,千方科技
882,002374,中锐股份
883,002375,亚厦股份
884,002376,新北洋
885,002377,国创高新
886,002378,章源钨业
887,002379,宏创控股
888,002380,科远智慧
889,002381,双箭股份
890,002382,蓝帆医疗
891,002383,合众思壮
892,002384,东山精密
893,002385,大北农
894,002386,天原股份
895,002387,维信诺
896,002388,新亚制程
897,002389,航天彩虹
898,002390,信邦制药
899,002391,长青股份
900,002392,北京利尔
901,002393,力生制药
902,002394,联发股份
903,002395,双象股份
904,002396,星网锐捷
905,002397,梦洁股份
906,002398,垒知集团
907,002399,海普瑞
908,002400,省广集团
909,002401,中远海科
910,002402,和而泰
911,002403,爱仕达
912,002404,嘉欣丝绸
913,002405,四维图新
914,002406,远东传动
915,002407,多氟多
916,002408,齐翔腾达
917,002409,雅克科技
918,002410,广联达
919,002412,汉森制药
920,002413,雷科防务
921,002414,高德红外
922,002415,海康威视
923,002416,爱施德
924,002418,康盛股份
925,002419,天虹股份
926,002420,毅昌科技
927,002421,达实智能
928,002422,科伦药业
929,002423,中粮资本
930,002424,ST百灵
931,002425,凯撒文化
932,002426,胜利精密
933,002427,尤夫股份
934,002428,云南锗业
935,002429,兆驰股份
936,002430,杭氧股份
937,002431,棕榈股份
938,002432,九安医疗
939,002433,*ST太安
940,002434,万里扬
941,002435,ST长康
942,002436,兴森科技
943,002437,誉衡药业
944,002438,江苏神通
945,002439,启明星辰
946,002440,闰土股份
947,002441,众业达
948,002442,龙星化工
949,002443,金洲管道
950,002444,巨星科技
951,002445,中南文化
952,002446,盛路通信
953,002448,中原内配
954,002449,国星光电
955,002451,摩恩电气
956,002452,长高电新
957,002453,华软科技
958,002454,松芝股份
959,002455,百川股份
960,002456,欧菲光
961,002457,青龙管业
962,002458,益生股份
963,002459,晶澳科技
964,002460,赣锋锂业
965,002461,珠江啤酒
966,002462,嘉事堂
967,002463,沪电股份
968,002465,海格通信
969,002466,天齐锂业
970,002467,二六三
971,002468,申通快递
972,002469,三维化学
973,002470,金正大
974,002471,中超控股
975,002472,双环传动
976,002474,榕基软件
977,002475,立讯精密
978,002476,宝莫股份
979,002478,常宝股份
980,002479,富春环保
981,002480,新筑股份
982,002481,双塔食品
983,002482,*ST广田
984,002483,润邦股份
985,002484,江海股份
986,002485,ST雪发
987,002486,嘉麟杰
988,002487,大金重工
989,002488,金固股份
990,002489,浙江永强
991,002490,ST墨龙
992,002491,通鼎互联
993,002492,恒基达鑫
994,002493,荣盛石化
995,002494,华斯股份
996,002495,佳隆股份
997,002496,辉丰股份
998,002497,雅化集团
999,002498,汉缆股份
1000,002500,山西证券
1001,002501,利源股份
1002,002502,ST鼎龙
1003,002505,鹏都农牧
1004,002506,协鑫集成
1005,002507,涪陵榨菜
1006,002508,老板电器
1007,002510,天汽模
1008,002511,中顺洁柔
1009,002512,达华智能
1010,002513,蓝丰生化
1011,002514,宝馨科技
1012,002515,金字火腿
1013,002516,旷达科技
1014,002517,恺英网络
1015,002518,科士达
1016,002519,银河电子
1017,002520,日发精机
1018,002521,齐峰新材
1019,002522,浙江众成
1020,002523,天桥起重
1021,002524,光正眼科
1022,002526,山东矿机
1023,002527,新时达
1024,002528,ST英飞拓
1025,002529,海源复材
1026,002530,金财互联
1027,002531,天顺风能
1028,002532,天山铝业
1029,002533,金杯电工
1030,002534,西子洁能
1031,002535,林州重机
1032,002536,飞龙股份
1033,002537,海联金汇
1034,002538,司尔特
1035,002539,云图控股
1036,002540,亚太科技
1037,002541,鸿路钢构
1038,002542,中化岩土
1039,002543,万和电气
1040,002544,普天科技
1041,002545,东方铁塔
1042,002546,新联电子
1043,002547,春兴精工
1044,002548,金新农
1045,002549,凯美特气
1046,002550,千红制药
1047,002551,尚荣医疗
1048,002552,宝鼎科技
1049,002553,南方精工
1050,002554,惠博普
1051,002555,三七互娱
1052,002556,辉隆股份
1053,002557,洽洽食品
1054,002558,巨人网络
1055,002559,亚威股份
1056,002560,通达股份
1057,002561,徐家汇
1058,002562,兄弟科技
1059,002563,森马服饰
1060,002564,*ST天沃
1061,002565,顺灏股份
1062,002566,益盛药业
1063,002567,唐人神
1064,002568,百润股份
1065,002569,ST步森
1066,002570,贝因美
1067,002571,德力股份
1068,002572,索菲亚
1069,002573,清新环境
1070,002574,明牌珠宝
1071,002575,群兴玩具
1072,002576,通达动力
1073,002577,雷柏科技
1074,002578,闽发铝业
1075,002579,中京电子
1076,002580,圣阳股份
1077,002581,未名医药
1078,002582,好想你
1079,002583,海能达
1080,002584,西陇科学
1081,002585,双星新材
1082,002586,*ST围海
1083,002587,奥拓电子
1084,002588,史丹利
1085,002589,瑞康医药
1086,002590,万安科技
1087,002591,恒大高新
1088,002592,ST八菱
1089,002593,日上集团
1090,002594,比亚迪
1091,002595,豪迈科技
1092,002596,海南瑞泽
1093,002597,金禾实业
1094,002598,山东章鼓
1095,002599,盛通股份
1096,002600,领益智造
1097,002601,龙佰集团
1098,002602,世纪华通
1099,002603,以岭药业
1100,002605,姚记科技
1101,002606,大连电瓷
1102,002607,中公教育
1103,002608,江苏国信
1104,002609,捷顺科技
1105,002610,ST爱康
1106,002611,东方精工
1107,002612,朗姿股份
1108,002613,北玻股份
1109,002614,奥佳华
1110,002615,哈尔斯
1111,002616,长青集团
1112,002617,露笑科技
1113,002620,瑞和股份
1114,002621,*ST美吉
1115,002622,皓宸医疗
1116,002623,亚玛顿
1117,002624,完美世界
1118,002625,光启技术
1119,002626,金达威
1120,002627,三峡旅游
1121,002628,成都路桥
1122,002629,仁智股份
1123,002630,华西能源
1124,002631,德尔未来
1125,002632,道明光学
1126,002633,申科股份
1127,002634,棒杰股份
1128,002635,安洁科技
1129,002636,金安国纪
1130,002637,赞宇科技
1131,002638,勤上股份
1132,002639,雪人股份
1133,002640,跨境通
1134,002641,公元股份
1135,002642,荣联科技
1136,002643,万润股份
1137,002644,佛慈制药
1138,002645,华宏科技
1139,002646,天佑德酒
1140,002647,仁东控股
1141,002648,卫星化学
1142,002649,博彦科技
1143,002650,ST加加
1144,002651,利君股份
1145,002652,扬子新材
1146,002653,海思科
1147,002654,万润科技
1148,002655,共达电声
1149,002656,ST摩登
1150,002657,中科金财
1151,002658,雪迪龙
1152,002659,凯文教育
1153,002660,茂硕电源
1154,002661,克明食品
1155,002662,京威股份
1156,002663,普邦股份
1157,002664,信质集团
1158,002665,ST航高
1159,002666,德联集团
1160,002667,威领股份
1161,002668,TCL智家
1162,002669,康达新材
1163,002670,国盛金控
1164,002671,龙泉股份
1165,002672,东江环保
1166,002673,西部证券
1167,002674,兴业科技
1168,002675,东诚药业
1169,002676,顺威股份
1170,002677,浙江美大
1171,002678,珠江钢琴
1172,002679,福建金森
1173,002681,奋达科技
1174,002682,龙洲股份
1175,002683,广东宏大
1176,002685,华东重机
1177,002686,亿利达
1178,002687,乔治白
1179,002688,金河生物
1180,002689,远大智能
1181,002690,美亚光电
1182,002691,冀凯股份
1183,002692,远程股份
1184,002693,双成药业
1185,002694,顾地科技
1186,002695,煌上煌
1187,002696,百洋股份
1188,002697,红旗连锁
1189,002698,博实股份
1190,002699,*ST美盛
1191,002700,ST浩源
1192,002701,奥瑞金
1193,002702,海欣食品
1194,002703,浙江世宝
1195,002705,新宝股份
1196,002706,良信股份
1197,002707,众信旅游
1198,002708,光洋股份
1199,002709,天赐材料
1200,002712,思美传媒
1201,002713,东易日盛
1202,002714,牧原股份
1203,002715,登云股份
1204,002716,湖南白银
1205,002717,岭南股份
1206,002718,友邦吊顶
1207,002719,麦趣尔
1208,002721,*ST金一
1209,002722,物产金轮
1210,002723,小崧股份
1211,002724,海洋王
1212,002725,跃岭股份
1213,002726,龙大美食
1214,002727,一心堂
1215,002728,特一药业
1216,002729,好利科技
1217,002730,电光科技
1218,002731,萃华珠宝
1219,002732,燕塘乳业
1220,002733,雄韬股份
1221,002734,利民股份
1222,002735,王子新材
1223,002736,国信证券
1224,002737,葵花药业
1225,002738,中矿资源
1226,002739,万达电影
1227,002741,光华科技
1228,002742,ST三圣
1229,002743,富煌钢构
1230,002745,木林森
1231,002746,仙坛股份
1232,002747,埃斯顿
1233,002748,ST世龙
1234,002749,国光股份
1235,002750,*ST龙津
1236,002752,昇兴股份
1237,002753,永东股份
1238,002755,奥赛康
1239,002756,永兴材料
1240,002757,南兴股份
1241,002758,浙农股份
1242,002759,天际股份
1243,002760,凤形股份
1244,002761,浙江建投
1245,002762,金发拉比
1246,002763,汇洁股份
1247,002765,蓝黛科技
1248,002766,索菱股份
1249,002767,先锋电子
